"pointid","xcoord","ycoord"
1,1684745.2988,2324298.5166
2,1684713.11305116,2324319.6461266
3,1689868.0204,2086815.7657
4,1689831.56639237,2086682.27039863
5,1724473.9443,1987296.5278
6,1724396.12662388,1987464.07703927
7,1714445.4512,2019455.8835
8,1712749.52729679,2018854.10051091
9,1736395.25830504,1965272.70008823
10,1737573.2292,1966628.5522
11,1755631.102,1945136.12
12,1755643.09173242,1943995.66479739
13,1761432.5566,1938308.296
14,1761308.34814292,1938274.19641877
15,1732968.7204,1960258.0568
16,1733097.86432833,1960077.81065572
17,1767032.1623,2269556.2261
18,1767003.53238647,2269601.79321769
19,1716821.4254,2274181.7454
20,1714519.7468,2274258.2425
21,1714491.503,2274171.9953
22,1717356.7292,2273960.2164
23,1717873.9714,2273391.0537
24,1720234.0452,2271477.3446
25,1721782.9662,2273890.6359
26,1722761.3592,2273817.9514
27,1724248.1257,2278210.065
28,1724053.0345,2274932.5332
29,1723846.8562,2274815.0517
30,1724052.4851,2274935.4986
31,1725076.6356,2278079.8347
32,1726097.4696,2277727.9982
33,1726559.7143,2278073.9622
34,1727515.7766,2281646.7134
35,1729405.2461,2282737.7474
36,1729499.4996,2282782.0011
37,1730116.0247,2282693.7014
38,1729664.3394,2282644.0974
39,1729832.2865,2286111.972
40,1730324.0759,2282780.0895
41,1729666.5625,2282653.3874
42,1717052.1918,2275486.9595
43,1717394.1145,2277892.2859
44,1717663.5532,2278225.1672
45,1718847.5497,2279655.1459
46,1718454.658,2279398.3199
47,1721975.2321,2283939.5215
48,1721393.449,2281068.1446
49,1721151.1527,2280824.3973
50,1722676.158,2286249.9094
51,1725860.8916,2288476.2043
52,1726327.1203,2288484.4969
53,1725676.7591,2247248.6344
54,1726930.498,2247438.994
55,1725243.4947,2247600.0003
56,1724690.4982,2249175.0023
57,1722835.5006,2250204.0013
58,1723038.4954,2250616.9922
59,1722835.4955,2251995.9949
60,1717403.4969,2256476.001
61,1718551.5045,2255453.9979
62,1717263.4999,2257022.0032
63,1717977.4957,2257161.9943
64,1718509.4969,2260620.0011
65,1718887.5014,2259696.0044
66,1718194.5048,2258274.9965
67,1718075.4988,2262523.9954
68,1716773.4958,2264162.0006
69,1717907.4982,2263041.9969
70,1717053.4991,2265814.0023
71,1715513.5012,2267549.9956
72,1715499.4953,2268585.9936
73,1715583.5017,2271371.9968
74,1715863.501,2270560.0035
75,1712342.497,2274332.9958
76,1710613.4963,2274899.9982
77,1710851.4945,2278861.9974
78,1710179.4974,2279211.9986
79,1708639.5038,2279841.996
80,1708163.503,2281899.9993
81,1706315.496,2282095.9999
82,1706035.4983,2282263.9988
83,1704215.4998,2281703.9973
84,1702395.5037,2283747.994
85,1699609.5023,2282739.9916
86,1700449.4965,2283131.9964
87,1701709.4949,2282501.997
88,1698951.494,2281396.0035
89,1698783.5005,2281381.9959
90,1697481.5021,2282194.002
91,1695521.5036,2281997.9971
92,1695717.4945,2283271.9965
93,1694149.503,2284700.0055
94,1694163.4975,2286365.995
95,1692630.5011,2289368.9992
96,1690852.4984,2290768.9908
97,1691839.4985,2289558.0004
98,1688957.2235,2294029.0732
99,1690821.8653,2290797.4534
100,1688978.1508,2294578.7587
101,1688798.5798,2295605.6119
102,1688711.3107,2295485.1805
103,1688898.5974,2296851.4115
104,1689014.1053,2299046.5882
105,1688594.0737,2300518.3501
106,1687683.1371,2302329.9419
107,1687354.7761,2302530.09
108,1689193.498,2290271.9975
109,1687339.9493,2291769.0046
110,1686755.6168,2292852.8319
111,1687278.0754,2291777.0024
112,1686757.5869,2292861.844
113,1686127.4968,2294247.9982
114,1684405.4976,2294990.0031
115,1684573.7562,2294569.8648
116,1685343.5018,2294401.9981
117,1678245.5013,2299764.0038
118,1679617.4996,2297271.9963
119,1678280.4981,2299826.9971
120,1679379.4982,2302550.0013
121,1681554.7502,2301717.6511
122,1681461.082,2301720.573
123,1681390.4788,2301650.885
124,1697132.9188,2310777.8726
125,1697128.0379,2310695.5114
